Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.78135153307854,24.78135153307854,24.65806122694382,24.76373863220215,1003200,29,4,4,1,1993
1993-02-01,24.7813528109405,24.939868927001953,24.7813528109405,24.939868927001953,480500,1,0,5,2,1993
1993-02-02,24.922245185588597,25.010309656209053,24.869406503216325,24.99269676208496,201300,2,1,5,2,1993
1993-02-03,25.027946297926217,25.274527049629924,25.01033338709024,25.256914138793945,529400,3,2,5,2,1993
1993-02-04,25.34495881928338,25.415410407384236,25.063152466879952,25.362571716308594,531500,4,3,5,2,1993
1993-02-05,25.344968795776367,25.397807507650814,25.204065564111175,25.344968795776367,492100,5,4,5,2,1993
1993-02-08,25.344968795776367,25.433033315567112,25.30974298786007,25.344968795776367,596100,8,0,6,2,1993
1993-02-09,25.25690301637536,25.25690301637536,25.115999791737284,25.168838500976562,122100,9,1,6,2,1993
1993-02-10,25.16883189656533,25.221670591939503,25.098380302733098,25.204057693481445,379600,10,2,6,2,1993
1993-02-11,25.239291817157095,25.433033764113638,25.239291817157095,25.327356338500977,19500,11,3,6,2,1993
1993-02-12,25.292135477901425,25.292135477901425,25.13361930847168,25.13361930847168,42500,12,4,6,2,1993
1993-02-16,25.0631549980553,25.0631549980553,24.464316438720175,24.499542236328125,374800,16,1,7,2,1993
1993-02-17,24.499527408407747,24.534753184695898,24.3938500795433,24.481914520263672,210900,17,2,7,2,1993
1993-02-18,24.763730820174523,24.763730820174523,24.129666588648007,24.464311599731445,378100,18,3,7,2,1993
1993-02-19,24.464317019392805,24.55238151550293,24.429091220948756,24.55238151550293,34900,19,4,7,2,1993
1993-02-22,24.622838528178434,24.67567723746637,24.552386915794518,24.640451431274414,513600,22,0,8,2,1993
1993-02-23,24.71090349107341,24.728516394488288,24.499548650094876,24.622838973999023,373700,23,1,8,2,1993
1993-02-24,24.640449596663654,24.939868927001953,24.640449596663654,24.939868927001953,26300,24,2,8,2,1993
1993-02-25,24.922245185588597,25.010309656209053,24.869406503216325,24.99269676208496,44500,25,3,8,2,1993
1993-02-26,25.045547930981222,25.045547930981222,24.90464470774082,25.027935028076172,66200,26,4,8,2,1993
1993-03-01,25.115989819663298,25.115989819663298,24.92224796270937,24.957473754882812,66500,1,0,9,3,1993
1993-03-02,24.97509825312544,25.327356338500977,24.939872444587888,25.327356338500977,182400,2,1,9,3,1993
1993-03-03,25.362577570442348,25.45064207589527,25.327351768261178,25.433029174804688,280100,3,2,9,3,1993
1993-03-04,25.468254710970484,25.468254710970484,25.292125701904297,25.292125701904297,89500,4,3,9,3,1993
1993-03-05,25.327353285677606,25.433030698552475,25.20406297065692,25.221675872802734,40000,5,4,9,3,1993
1993-03-08,25.27452119061204,25.785295486450195,25.27452119061204,25.785295486450195,50800,8,0,10,3,1993
1993-03-09,25.732449466843896,25.750062368600805,25.64438495805935,25.697223663330078,169300,9,1,10,3,1993
1993-03-10,25.697224236056513,25.750062942504883,25.591546823159778,25.750062942504883,194400,10,2,10,3,1993
1993-03-11,25.76768528581156,25.838136920222528,25.644394925592366,25.67962074279785,70900,11,3,10,3,1993
1993-03-12,25.4682496877817,25.485862585214466,25.25689491858849,25.4154109954834,643600,12,4,10,3,1993
1993-03-15,25.397796930773506,25.538700103759766,25.397796930773506,25.538700103759766,310800,15,0,11,3,1993
1993-03-16,25.538700103759766,25.609151690252897,25.538700103759766,25.538700103759766,30800,16,1,11,3,1993
1993-03-17,25.503482117080424,25.503482117080424,25.344965998949398,25.380191802978516,21800,17,2,11,3,1993
1993-03-18,25.485861413889918,25.64437748349946,25.485861413889918,25.538700103759766,59300,18,3,11,3,1993
1993-03-19,25.64162205756331,25.64162205756331,25.50005340576172,25.50005340576172,66900,19,4,11,3,1993
1993-03-22,25.25230968073374,25.41157442293879,25.234613598266517,25.35848617553711,183400,22,0,12,3,1993
1993-03-23,25.429271400472913,25.44696748356301,25.376183151202614,25.411575317382812,55200,23,1,12,3,1993
1993-03-24,25.376183151202614,25.51775181592341,25.252310569571918,25.411575317382812,37200,24,2,12,3,1993
1993-03-25,25.429272166585427,25.623929086440988,25.393879999338964,25.57084083557129,110100,25,3,12,3,1993
1993-03-26,25.55314619771789,25.570842282342348,25.411577520722222,25.42927360534668,101500,26,4,12,3,1993
1993-03-29,25.44696385680349,25.65931682361965,25.44696385680349,25.535444259643555,87100,29,0,13,3,1993
1993-03-30,25.570833809884892,25.606225967407227,25.53544165236256,25.606225967407227,56000,30,1,13,3,1993
1993-03-31,25.677004237722393,25.747788536103435,25.588523864746094,25.588523864746094,111600,31,2,13,3,1993
1993-04-01,25.62392597608811,25.62392597608811,25.44696516133612,25.50005340576172,129500,1,3,13,4,1993
1993-04-02,25.287706792819257,25.287706792819257,24.96917724609375,24.96917724609375,59400,2,4,13,4,1993
1993-04-05,25.163836259936076,25.163836259936076,25.022267560864705,25.09305191040039,172200,5,0,14,4,1993
1993-04-06,25.146138993820344,25.146138993820344,24.951482041721803,25.022266387939453,129700,6,1,14,4,1993
1993-04-07,25.057650511663006,25.11073875427246,25.004562269053547,25.11073875427246,28000,7,2,14,4,1993
1993-04-08,25.216922309084012,25.216922309084012,24.969177107450907,25.075353622436523,180800,8,3,14,4,1993
1993-04-12,25.32309709759993,25.446969689971137,25.287704928351012,25.42927360534668,348500,12,0,15,4,1993
1993-04-13,25.411576504177518,25.57084125942654,25.39388042026096,25.48236083984375,146100,13,1,15,4,1993
1993-04-14,25.5000620631084,25.517758150591472,25.429277713176106,25.44697380065918,119600,14,2,15,4,1993
1993-04-15,25.429277713176106,25.5000620631084,25.34079727576074,25.44697380065918,148600,15,3,15,4,1993
1993-04-16,25.464669888142254,25.5000620631084,25.41158162569303,25.44697380065918,47900,16,4,15,4,1993
1993-04-19,25.446972034496966,25.51775637951643,25.323099430712908,25.340795516967773,157000,19,0,16,4,1993
1993-04-20,25.305410846910977,25.34080302991365,25.05766556589227,25.216930389404297,279500,20,1,16,4,1993
1993-04-21,25.270016461275937,25.270016461275937,25.128447741604923,25.19923210144043,67900,21,2,16,4,1993
1993-04-22,25.093050285219977,25.30540332007374,24.88069725036621,24.88069725036621,97700,22,3,16,4,1993
1993-04-23,24.827591930116924,24.89837622642517,24.73911155973162,24.774503707885742,106000,23,4,16,4,1993
1993-04-26,24.79220984769949,24.880690254008197,24.50907254751163,24.579856872558594,62600,26,0,17,4,1993
1993-04-27,24.544474798729617,24.845308303833008,24.544474798729617,24.845308303833008,156800,27,1,17,4,1993
1993-04-28,24.809913341187308,24.863001600833215,24.7568250815414,24.792217254638672,85900,28,2,17,4,1993
1993-04-29,24.8453129847675,24.898401260375977,24.703744249811557,24.898401260375977,85000,29,3,17,4,1993
